"Author";"Frequency"
"W. Pogue";1
"James P. Thomas";1
"M. Qidwai";1
"Kiran Gampala";1
"L. Özdamar";1
"S. Pokharel";1
"D. Houy";1
"J. Steinshnider";1
"T. Davies";1
"C. Butterfield";1
"K. Donoho";1
"G. Henze";1
"Minghao Li";1
"A. Loyns";1
"Keith Ellis";1
"John Hill";1
"Doğan Altinbilek";1
"K. Seelos";1
"Richard Taylor";1
"K. Weaver";1
"T. Marshall";1
"T. Totemeier";1
"E. Feldman";1
"R. Kulak";1
"I. Therios";1
"C. Tzanos";1
"H. Ludewig";1
"W. Corwin";1
"V. Krishnardula";1
"W. Gale";1
"J. Fergus";1
"P. Sabharwall";1
"Amol C. Gawale";1
"R. Pant";1
"A. Bryans";1
"Harjeet Johal";1
"D. Kilfoyle";1
"J. Preisig";1
"A. Baggeroer";1
"Thomas E. Markusic";1
"K. Polzin";1
"Amado Dehoyos";1
"李承俊";1
"河森哲";1
"裵英珠";1
"车刚旭";1
"K. Samaras";1
"C. Sandberg";1
"C.J. Saimas";1
"A. Koulaxouzidis";1
"J.O. Lamell";1
"T. Trumbo";1
"T. Nestli";1
"Y. Yassierli";1
"Scott G. Bauer";1
"Matthew O. Anderson";1
"James R. Hanneman";1
"弥璞";1
"董立新";1
"T. Short";1
"K. Karoui";1
"H. Crisciu";1
"J. Van Hecke";1
"É. Jottrand";1
"A. R. Orquin";1
"V. Ramírez";1
"M. Skok";1
"D. Skrlec";1
"최병운";1
"창상훈";1
"김학련";1
"전광기";1
"황현수";1
"최성진";1
"김덕진";1
"이춘범";1
"조해용";1
"이성호";1
"임성삼";1
"이기정";1
"김민우";1
"S. Crane";1
"Stephen P. Goldschmidt";1
"M. Greathouse";1
"N. Khadiya";1
"M. J. Andrews";1
"R. Tandon";1
"E. Ott";1
"A. Hind";1
"M. Long";1
"R. P. Jensen";1
"L. Wheat";1
"Dave Cusac";1
"Hung‐Yu Lin";1
"A. Wereszczak";1
"M. Ferber";1
"S. A. Lee";1
"J. Moreti";1
"P. W. Park";1
"Jill E. Rockwood";1
"C. L. Boyer";1
"C. Ragle";1
"M. Balmer-Millar";1
"C. L. Aardahl";1
"Craig F. Habeger";1
"K. Rappé";1
"K. Koshkarian";1
"M. Readey";1
"M. Ahlstrom";1
"R. Zavadil";1
"K. Holland";1
"S. Krishnaswami";1
"B. Hull";1
"B. Heath";1
"J. Richmond";1
"H. Fatima";1
"J. Palmour";1
"A. Lelis";1
"B. Geil";1
"D. Katsis";1
"C. Scozzie";1
"Z. Ben";1
"J. Wilkinson";1
"S. Hareland";1
"Yuekui Huang";1
"Ruihuan Li";1
"朱苗勇";1
"周建安";1
"潘时松";1
"沙骏";1
"K.M. Saxby";1
"J. L. Bala";1
"R. Spacek";1
"T. Stovall";1
"T. Kingston";1
"제랄도 노지마";1
"서유진";1
"허창수";1
"X.F. Zuo";1
"H. Kuribayashi";1
"T. Inagaki";1
"K. Tsuji";1
"W. Dunn";1
"C. Pandorf";1
"S. Montain";1
"J. Castellani";1
"A. P. Tuckow";1
"B. Nindl";1
"K. Bekman";1
"L. Keilthy";1
"S. Jenkins";1
"J. Wasyl";1
"I. Levitine";1
"F. Braga";1
"B. Rodríguez";1
"R. Ramírez";1
"Simone Klawitter";1
"H. Qazzaz";1
"M. F. Abreu";1
"Â. Furlani";1
"C. A. Abreu";1
"P. D. Santos";1
"A. Paz-González";1
"George J. Tsinarakis";1
"N. Tsourveloudis";1
"Guilin Chen";1
"Young-Mi Song";1
"Kyung-chul Ko";1
"Byoung-Hoon Lee";1
"Jai-hoon Kim";1
"구자남";1
"이동현";1
"이성현";1
"Felix T.S. Chan";1
"Philip L. Y. Chan";1
"P. Emma";1
"Ying-Haw Shu";1
"S. Tenqchen";1
"Ming-Chang Sun";1
"Wu-Shiung Feng";1
"R. Yavatkar";1
"H. Casanova";1
"Y. Robert";1
"J. Haid";1
"Dietmar Scheiblhofer";1
"E. Muñoz-G";1
"D. M. Ruiz-V";1
"J. A. Prieto-S";1
"A. M. Ramos";1
"G. Yue";1
"高月红";1
"张欣";1
"杨大成";1
"K. Abdelghany";1
"H. El-Rewini";1
"José A. García";1
"Rosa Rodríguez-Sánchez";1
"J. Fdez-Valdivia";1
"J. Martinez-Baena";1
"R. Howard";1
"E. Tunstel";1
"W. L. Thompson";1
"H. Bussey";1
"A. Gjendemsjø";1
"D. Gesbert";1
"G. Øien";1
"S. G. Kiani";1
"Liang Gong";1
"Yan Du";1
"T. Chang";1
"Suganya Parthasarathy";1
"Tongsheng Wang";1
"Kunj Gandhi";1
"P. Soteropoulos";1
"ヤン ナンツェン";1
"Sudeep Jain";1
"Yann-Hang Lee";1
"Chiung-Jang Chen";1
"Yong Cheng";1
"Noel N. Schulz";1
"Yoon-Jun Kim";1
"Minha Park";1
"K. R. Lai";1
"Yuan-Lung Chang";1
"G. Skelton";1
"A. Holton";1
"A. S. Eldin";1
"Ismail Abd Elghafar";1
"Alaa E. S. Ahmed";1
"Gouda Ismail";1
"Dongwook Park";1
"S. Namiki";1
"N. Tsukiji";1
"S. Shikii";1
"J. Male";1
"M. Kennedy";1
"G. S. Sailesh Babu";1
"D. Bhagwan Das";1
"C. Patvardhan";1
"S. A. El-atty";1
"Vivek N. Darera";1
"C. Qi-mei";1
"Zhang De";1
"Bi Hou-jie";1
"Jason J. Yao";1
"Wei-Feng Huang";1
"Ming-Syan Chen";1
"Yeonwoo Lee";1
"Kyeong Hur";1
"J. Broberg";1
"Cathy H. Xia";1
"Y. Cherner";1
"Arnold O. Lotring";1
"Robert Klein";1
"Thomas Campbell";1
"D. Aktas";1
"Muhammad Naeem Bacha";1
"S. Hanly";1
"T. Small";1
"G. Pour";1
"Nivedita Laad";1
"Gustav Nyberg";1
"C. Åhlund";1
"Tomas Rojmyr";1
"Yoon-Soo Lee";1
"Jianli Zhuo";1
"S. Vrudhula";1
"Liu Xiaozhu";1
"Zhu Rongbo";1
"G. Kacprzynski";1
"J.R. Bock";1
"Michael Begin";1
"R. Klenke";1
"E. Öztürk";1
"陈伟民";1
"王水波";1
"Sorapak Pukdesree";1
"Anon Sukstrienwong";1
"Vitalwonhyo Lacharoj";1
"Shigang Chen";1
"J. Cobb";1
"伍强";1
"J. Bialasiewicz";1
"E. Galván";1
"Ramón Portillo";1
"Guisado";1
"Ma Ángeles";1
"Martín Prats";1
"Ignacio León";1
"Narciso Moreno-Alfonso";1
"아지즈 골미에";1
"프란세스코 그릴리";1
"듀가 프라새드 말라디";1
"주안 몬토조";1
"테니 나단에드워드";1
"systems Wireless algorithms";1
"龙刚强";1
"谢军";1
"廖虎灵";1
"Denyse M. Bridger";1
"D. Catrein";1
"Hideki Takano";1
"J. Yoshida";1
"Katsuhiro Sawada";1
"R. Sárfi";1
"A. Solo";1
"Chengmo Yang";1
"O. Ndili";1
"T. Ogunfunmi";1
"S. Potter";1
"Jason Nieh";1
"F. Batzias";1
"C. Siontorou";1
"J. McLean";1
"O. S. Saydjari";1
"J. Voas";1
"Yuan-ting Zhang";1
"V. S. Rao";1
"Huiqin Zhan";1
"P. Camarda";1
"Giovanni Tommaso Carone";1
"D. Striccoli";1
"Chimi I. Zacot";1
"Jin-Shyan Lee";1
"Yang-Chih Huang";1
"A. Guo";1
"Yung-Jui Chen";1
"S. Hadjeri";1
"A. Benaissa";1
"H. Hamdaoui";1
"G. Lewis";1
"Kang Chong-qing";1
"Bai Lichao";1
"Xu Ruilin";1
"He Jianjun";1
"Xu Kunyao";1
"S. K. Bandyopadhyay";1
"L. Kondi";1
"Harold Zheng";1
"Sherry Wang";1
"Christopher C. Rogers";1
"R. Nichols";1
"J. Condren";1
"S. An";1
"Firouz Behnamfar";1
"F. Alajaji";1
"T. Linder";1
"H. Schek";1
"G. Brettlecker";1
"D.K. Lee";1
"R. K. Bahr";1
"M. Gerndt";1
"D. Kranzlmüller";1
"R. Giuliano";1
"F. Mazzenga";1
"S. Franz";1
"U. Mitra";1
"G. Caire";1
"Janusz Górski";1
"T. Haustein";1
"A. Paraboni";1
"C. Capsoni";1
"M. Buti";1
"S. Bertorelli";1
"D. Moretti";1
"P. Gabellini";1
"N. Gatti";1
"A. Martellucci";1
"P. Rinous";1
"S. Katar";1
"B. Mashburn";1
"R. Newman";1
"H. Latchman";1
"D. T. Franco";1
"J. Naviner";1
"L. Naviner";1
"A.R.A. El Wafa";1
"I. Belal";1
"Gamal Haggag";1
"Walid Ben Chamekh";1
"M. Weckerle";1
"P. Owotoki";1
"N. Manojlovic";1
"F. Mayer-Lindenberg";1
"E. Pasche";1
"G. Aniba";1
"P. Tervydis";1
"R. Rindzevičius";1
"梁国龙";1
"王燕";1
"王大宇";1
"张光普";1
"付进";1
"E. H. Clayton";1
"Obi Orjih";1
"S. Dyke";1
"Chenyang Lu";1
"Johan Hultell";1
"A. Adinoyi";1
"J. Helander";1
"J. Preden";1
"M. Wagrowski";1
"Николай Валентинович Татарченко";1
"S. Lasher";1
"S. Unnasch";1
"Yingwei Li";1
"Ralph T. Yang";1
"T. Nakasyotani";1
"Hiroyuki Toda";1
"T. Kuri";1
"Ken-ichi Kitayama";1
"M. Fensin";1
"J. Elliott";1
"R. Lipinski";1
"B. Arnold";1
"P. Mattie";1
"R. Knowlton";1
"W. Chuang";1
"L. Chi";1
"H. Jow";1
"N. Tien";1
"H. Mamath";1
"M. Ingram";1
"E. Maset";1
"J. Ejea";1
"A. Ferreres";1
"E. Sanchis-Kilders";1
"J. Jordán";1
"V. Esteve";1
"M. Martorell";1
"J. Mauzey";1
"V. McDonell";1
"S. Samuelsen";1
"D. Boer";1
"É. Lefeuvre";1
"D. Guyomar";1
"C. Richard";1
"P. Guy";1
"K. Yuse";1
"T. Monnier";1
"Hyun-Ho Choi";1
"Jongkwon Lim";1
"Pyung-Ki Jung";1
"P. C. Rao";1
"R. N. Patel";1
"Jesper Augustsson";1
"R. Thomeé";1
"C. Linden";1
"M. Folkesson";1
"R. Tranberg";1
"J. Karlsson";1
"T. Rizy";1
"F. F. Li";1
"R. Jyoti";1
"Aygul Ozbafli";1
"G. Jenkins";1
"O. Maldonado";1
"Paulo A. Panuncio";1
"D.F.R. Silva";1
"J. Silveira";1
"M. Alspaugh";1
"Y. Koo";1
"C. S. Lee";1
"T. S. Soek";1
"T. Kang";1
"S. H. Kim";1
"T. Y. Choi";1
"张歌今";1
"M. M. Shanehchi";1
"V. Dvortsov";1
"A. Sedaghati";1
"Chan-Nan Lu";1
"O. Pereira";1
"T. Reis";1
"R.G.B. de Araujo";1
"F.F. Gongalves";1
"Mingyao Xu";1
"E. Seitz";1
"R. Longsworth";1
"Y. Ikeya";1
"G. Bucci";1
"E. Rotondale";1
"N. Matsumoto";1
"Y. Yasukawa";1
"K. Ohshima";1
"S. Minematsu";1
"T. Takeuchi";1
"K. Yoshizawa";1
"T. Matsushita";1
"Y. Mizoguchi";1
"J. Sarrao";1
"W. Kwok";1
"I. Božović";1
"I. Mazin";1
"J. Séamus";1
"L. Civale";1
"D. Christen";1
"J. Horwitz";1
"G. Kellogg";1
"D. Finnemore";1
"G. Crabtree";1
"U. Welp";1
"C. Ashton";1
"B. Herndon";1
"L. Shapard";1
"R. Nault";1
"Shinji Ishikawa";1
"Eiji Muto";1
"A.I. Miller";1
"R. Duffey";1
"M. Gopinathan";1
"P. Wong";1
"Y. Ohtani";1
"T. Yazawa";1
"T. Kuriyama";1
"M. Urata";1
"张海鹏";1
"徐文杰";1
"许杰萍";1
"高明煜";1
"刘国华";1
"徐丽燕";1
"E. Wicklein";1
"Mizan Rashid";1
"T. Mizuno";1
"M. Mito";1
"M. Tanji";1
"T. G. Krasilnikova";1
"S. M. Zilberman";1
"O. Moya";1
"J. A. Herrera";1
"C.H. Singer";1
"Á. C. Neto";1
"M. G. D. da Silva";1
"P. Angeletti";1
"D. F. Prim";1
"R. Rinaldo";1
"G. Taljan";1
"M. Pantoš";1
"A. Gubina";1
"Filipe Moura";1
"P. Poudeu";1
"J. D'Angelo";1
"Jarrod L Short";1
"T. Hogan";1
"M. Kanatzidis";1
"M. Schwan";1
"C. Schwaegerl";1
"W.H. WellBow";1
"L. Bertling";1
"A. Karsaz";1
"J. Teigen";1
"Cliff Braddock";1
"J. Berry";1
"Adam Newcomer";1
"Robert (Bob) P. Moroz";1
"Y. Kawahito";1
"S. Katayama";1
"P. Gurd";1
"D. Hatfield";1
"H. Strong";1
"M. Wolters";1
"M. Arentsen";1
"R. Künneke";1
"Han van der Vegt";1
"Ben Lambregts";1
"Jian-hang Zhang";1
"H. Yue";1
"Hyun JinWoo";1
"Chung Hak-Yeong";1
"Sung Chanho";1
"C. Tudryn";1
"B. Blalock";1
"G. Burke";1
"S. Cozy";1
"R. Ghaffarian";1
"D. Hunter";1
"E. Kolawa";1
"M. Mojarradi";1
"D. Schatzel";1
"A. Shapiro";1
"M. Ivanova";1
"A. Lai";1
"C. Gillot";1
"N. Sillon";1
"C. Schaeffer";1
"F. Lefèvre";1
"M. Lallemand";1
"E. Fournier";1
"G. Drummond";1
"John D. Williams";1
"Lee Deucksoo";1
"Kim Insik";1
"이나영";1
"박형민";1
"조용선";1
"남긍현";1
"임성훈";1
"D. Cadogan";1
"Craig R. Scheir";1
"Anshu Dixit";1
"J. Ware";1
"Janet Ferl";1
"Emily Cooper";1
"Peter D. Kopf";1
"A. Al-kandari";1
"M. Gilany";1
"A. Shaltout";1
"손광명";1
"이계병";1
"C. Nam";1
"Jongmoo Lee";1
"H. Jung";1
"S. Yook";1
"James R. Schwall";1
"N. U. Karim";1
"J. G. Thakkar";1
"R. Gamble";1
"D. H. Hinds";1
"S. Hucik";1
"Chris Maslak";1
"M. F. Taras";1
"R. Kirby";1
"R. Schwartz";1
"Yong-gang Lv";1
"Yi-xin Zhou";1
"W. Brown";1
"R. Shapiro";1
"F. Magueed";1
"Jaap E. Daalder";1
"H. A. Hamid";1
"T. Yusaf";1
"Z. Yusof";1
"Xiaodong Lu";1
"Jongbae Park";1
"Hyungsoo Kim";1
"Jingook Kim";1
"J. Pak";1
"D. Kam";1
"Marco J F Zeman";1
"E. Bordatchev";1
"G. Knopf";1
"Hwai-Hui Fu";1
"B. Pei";1
"S. Tambe";1
"J. Frisch";1
"Ryan Wiser";1
"A. M. Bakhmet’ev";1
"M. I. Davidenko";1
"Magnus Holmqvist";1
"G. Stefansson";1
"R. H. Staunton";1
"S. S. Issa";1
"K. Erickson";1
"王德顺";1
"刘爱民";1
"Bennie Hoisington";1
"Steven Begay";1
"Jian-Feng Tsai";1
"Yon-Ping Chen";1
"S. Salman";1
"S.F. Tan";1
"Hur";1
"Kwang-Beom";1
"Park";1
"Jung-Keuk";1
"Rhim";1
"Sang-Kyu";1
"Kim";1
"Jae-hoon";1
"K. Meah";1
"S. Ula";1
"H.R. Chen";1
"P. Piagi";1
"Marcelo A. Elizondo";1
"Marija D. Ilic";1
"Pedro E. Mercado";1
"Da-Jyun Shen";1
"A. Kraemer";1
"D. Dohnal";1
"T. A. Harris";1
"M. Kotzalas";1
"Ding Ming";1
"Wu Yichun";1
"B. Cooper";1
"C. Luo";1
"H. G. Far";1
"H. Banakar";1
"P. Keung";1
"B. Ooi";1
"R. Robinson";1
"V. G. Werner";1
"J. Moritz";1
"J. Melby";1
"R. Palombi";1
"B. Bustamante";1
"K. Fluckiger";1
"S. Zheng";1
"Arora Jitin";1
"V. Tandon";1
"S. Nazarian";1
"S. Biansoongnern";1
"S. Chusanapiputt";1
"S. Phoomvuthisarn";1
"T. K. Saha";1
"Hae-Yong Cho";1
"Sung-Ho Lee";1
"Sungsoo Lim";1
"K. Asatani";1
"S. Porkar";1
"A.A.-T. Farad";1
"B. Porkar";1
"M. Dashash";1
"R. Mahfoudhi";1
"Ernie Podraza";1
"H. K. Wong";1
"Shihe Chen";1
"S. K. Lau";1
"T. Kohara";1
"T. Noguchi";1
"S. Kondo";1
"양재구";1
"木村 文彦";1
"K. Horio";1
"精密工学会";1
"金東珉";1
"裵引洙";1
"趙鍾萬";1
"K. An";1
"E. Lara‐Curzio";1
"J. Graziano";1
"E. Bazan-Zurita";1
"Dale M. Williams";1
"J. Bledsoe";1
"A. Pugh";1
"A. DiGioia";1
"J. Mozer";1
"F. Newman";1
"权龙";1
"秦太龙";1
"트란트룽틴";1
"권중지";1
"시보";1
"S. Chakravorti";1
"D. Watkins";1
"B. Lonia";1
"P. Bali";1
"강훈";1
"이선일";1
"주영주";1
"정현준";1
"김용찬";1
"이승혁";1
"H. Dalvand";1
"M. Zare";1
"Shun-Hsien Huang";1
"M. Perry";1
"E. Strayer";1
"K. Amaresh";1
"Yeping Zhang";1
"Yu-hsing Chen";1
"B. Vandevelde";1
"B. Swinnen";1
"E. Beyne";1
"王华君";1
"张庆荣";1
"杨春帆";1
"王志强";1
"O. S. Ali";1
"A. Baker";1
"Ajal Kumar";1
"R. Deo";1
"Yuliastuti Yuliastuti";1
"Jihwan Keum";1
"C. Ha";1
"Youngkyoo Kim";1
"L. Perandini";1
"N. Okuno";1
"E. Kokubun";1
"F. Nakamura";1
"Stratford M. Douglas";1
"S. Gelcich";1
"G. Edwards‐Jones";1
"J. Castilla";1
"B. Campbell";1
"S. Hatfield-Dodds";1
"James A. Wilson";1
"N. Abel";1
"D. Cumming";1
"T. Narasimhan";1
"L. Petkovic";1
"H. Rollins";1
"D. Ginosar";1
"K. Burch";1
"T. J. Walsh";1
"S. Orsega";1
"D. Banks";1
"H. An";1
"方源立";1
"Ibm Redbooks";1
"S. Barnes";1
"Miquel Payaró Llisterri";1
"M. H. Ahmed";1
"Mahmoud Elsayes";1
"Zhengguo Li";1
"Dajun Wu";1
"R. Yu";1
"Rishi Bhooshan";1
"Lingfan Weng";1
"A. Soong";1
"Jianmin Lu";1
"Yinggang Du";1
"D. T. Lee";1
"Chien-Ming Lee";1
"Ying-Chung Wang";1
"B. Donnellan";1
"T. Larsen";1
"L. Levine";1
"P. Curtis";1
"S. Leung";1
"B. K. Chalise";1
"A. Dharani";1
"Dr. P. S. Satyanarayana";1
"A. Pallavi";1
"Deniz Gündüz";1
"P. Stenström";1
"Jeng-Ji Huang";1
"Wei-Ting Wang";1
"Sen-Ching Chang";1
"H. Ferng";1
"Jung-Bin Kim";1
"Yongkui Han";1
"I. Koren";1
"C. M. Krishna";1
"J. Maskalyk";1
"G. P. Alvarez";1
"Junqiang Xing";1
"F. Frederiksen";1
"T. Kolding";1
"T. F. Lootsma";1
"S. Mediratta";1
"J. Draper";1
"Hari K. Pyla";1
"C. Amaldas";1
"Avinash Shankaranarayanan";1
"K. Rojdev";1
"J. Cheng";1
"Omer Faghfoor";1
"Alvin Garcia";1
"Paul Giulian";1
"C. Raskin";1
"Michael Rudolph";1
"Jon Timmis";1
"Zheng-yu Lu";1
"Ruijun Zhang";1
"Kun Xia";1
"Jianhong Yin";1
"Yiming Zhu";1
"Haojin Zhu";1
"A. Liotta";1
"Ling-En Lin";1
"Chaoli Wang";1
"Hongfeng Yu";1
"Anna Tikhonova";1
"A. L'Abbate";1
"G. Fulli";1
"Chih-Wei Yang";1
"Y. Jou";1
"T. Yenn";1
"I. Hassan";1
"M. Bauer";1
"Hualin Xie";1
"Jian-zhai Wu";1
"Rui Hong";1
"Jie Chong";1
"Chuangsheng Wang";1
"李兴敏";1
"李太伟";1
"林小诚";1
"罗安禄";1
"黄长生";1
"Derek L. Schuff";1
"Vijay S. Pai";1
"Paul Willmann";1
"S. Rixner";1
"Juhua Yang";1
"Y. Gai";1
"Zongshou Wei";1
"Guangwu Chen";1
"Xinfeng Yang";1
"韩信杰";1
"刘洪琳";1
"刘国法";1
"吴金明";1
"徐啟蕾";1
"P. Marra";1
"D. Akuatse";1
"E. Crudo";1
"P. Bologna";1
"S. Montenegro";1
"R. Vitulli";1
"Xuebing Pei";1
"Gan Liu";1
"Huang Xuyong";1
"Miao Shihong";1
"K·赞吉";1
"吕英杰";1
"张小兴";1
"戴宇杰";1
"J. Koistinen";1
"Dongmyoung Kim";1
"Youngkyu Choi";1
"Sunggeun Jin";1
"Kwanghun Han";1
"K. Tan";1
"H. Brandhorst";1
"J. Rodiek";1
"N. Seifert";1
"T. M. Mak";1
"Kee-sup Kim";1
"Yawei Li";1
"Prashasta Gujrati";1
"D. Macpherson";1
"R. Zamani";1
"A. Afsahi";1
"Carl Hamacher";1
"M. Jakovljevic";1
"Driton Statovci";1
"T. Nordström";1
"S. Zazo";1
"Shuto Yamamoto";1
"Ippei Shake";1
"T. Kurahashi";1
"Y. Tarui";1
"Wataru Imajuku";1
"Y. Tsukishima";1
"Koji Sasayama";1
"Osamu Moriwaki";1
"M. Fukutoku";1
"W. Jia";1
"Chunwen Li";1
"Yuan Rong";1
"Lingzhi Cao";1
"Xuesheng Zheng";1
"M. Rossberg";1
"G. Schäfer";1
"T. Strufe";1
"D. Tsitsipis";1
"S. Giannoulis";1
"S. Koubias";1
"Zhikun Wang";1
"Xirong Li";1
"Xiaofei Song";1
"V. Mahinthan";1
"B. Mohr";1
"N. Moraitis";1
"D. Vouyioukas";1
"N. Hazrati";1
"V. G. Mitchell";1
"Bing-sen Wang";1
"Jeffrey Brown";1
"L. Kosnik";1
"Donald A. Cox";1
"Patrick Hosein";1
"Jia Li";1
"廖启新";1
"王晓琳";1
"Qiongxia Shen";1
"Gregory Collier";1
"Derek Plassman";1
"Mahmoud Pegah";1
"B. Selić";1
"S. Musazzi";1
"U. Perini";1
"R. Grassetti";1
"Richard D. Lilley";1
"Daowei Bi";1
"Liang Ding";1
"K. Rezaul";1
"V. Grout";1
"付永全";1
"刘岩枫";1
"崔万田";1
"李一波";1
"杨兴礼";1
"罗福金";1
"陈满艳";1
"D. Landon";1
"C. Furse";1
"Hung-Wen Yeh";1
"Chin-En Wu";1
"Ko-Ming Hsiao";1
"F. Davarian";1
"俞建平";1
"夏夷";1
"张焰";1
"王克成";1
"王承民";1
"陆四龙";1
"민병권";1
"박순규";1
"박재석";1
"이수복";1
"이원철";1
"최주평";1
"N. Kushiro";1
"T. Higuma";1
"M. Nakata";1
"Koichi Sato";1
"J. Villanen";1
"周永兵";1
"张智勇";1
"丰美丽";1
"吴平安";1
"安小东";1
"康文广";1
"张跃均";1
"邵宝福";1
"F. Khalifa";1
"S. Kishk";1
"Jong-Seop Lee";1
"Jongha Park";1
"J. Shim";1
"Hosung Yoon";1
"Jin Hee Kim";1
"J. Byun";1
"G. Bolognini";1
"Duckey Lee";1
"F. Di Pasquale";1
"Mehdi Ansari Sadrabadi";1
"Lifeng Sun";1
"Shiqiang Yang";1
"Niti Madan";1
"R. Balasubramonian";1
"I. Aldmour";1
"K. Al-Begain";1
"A. Zreikat";1
"O. Somekh";1
"B. M. Zaidel";1
"Shlomo Shamai Shitz";1
"D. Elizandro";1
"H. Taha";1
"N. Misran";1
"C. Ng";1
"S. Y. Baek";1
"肖吉";1
"Z. Diao";1
"Zhenghua Xue";1
"Xiaoshe Dong";1
"Siyuan Ma";1
"Shengqun Fan";1
"Yiduo Mei";1
"D. Ficara";1
"S. Giordano";1
"M. Pagano";1
"F. Vitucci";1
"K. Jayanthi";1
"Fang Xiong";1
"Yuan’an Liu";1
"Zhenyu Chen";1
"Sean Ahern";1
"M. Fahey";1
"R. Hartman-Baker";1
"R. Barrett";1
"R. Kendall";1
"D. Kothe";1
"R. Mills";1
"R. Sankaran";1
"Arnold N. Tharrington";1
"James B. White";1
"N. M. Radzi";1
"M. Idris";1
"T. Shahana";1
"B. R. Jose";1
"R. K. James";1
"K. Jacob";1
"S. Sasi";1
"L. Horne";1
"T. Rainsford";1
"Winnie Tan";1
"Yangfan Zhou";1
"Michael R. Lyu";1
"Jiangchuan Liu";1
"B. Alaskar";1
"A. Shaalan";1
"B. M. Al‐Shammri";1
"J.G. Inon";1
"T. Pröll";1
"A. Maini";1
"孙波";1
"薛永端";1
"许立强";1
"马士聪";1
"E. V. Mgaya";1
"Z. Müller";1
"Joon H. Lee";1
"T. Kim";1
"N. B. Negra";1
"O. Holmstrøm";1
"B. Bak‐Jensen";1
"P. Sørensen";1
"Yoshio Shimakawa";1
"J. Wood";1
"李丞爀";1
"徐熏徹";1
"金喆煥";1
"呂相敏";1
"P. Korba";1
"J. W. Rice";1
"S. Fulford";1
"N. Seeley";1
"Zhengyi Feng";1
"Mika Ijas";1
"S.H.-K. Lee";1
"Y. Jaluria";1
"D. Banaszak";1
"B. Gerwick";1
"A. Adachi";1
"Ji-Jen Wong";1
"Chi-Jen Fan";1
"N. Meshakti";1
"Vijay Vittal";1
"B. Anderson";1
"A. Batchelor";1
"D. Blackwell";1
"E. Drake";1
"J. Garnish";1
"B. Livesay";1
"K. Nichols";1
"S. Petty";1
"M. Nafi Toksoz";1
"R. W. Veatch";1
"R. Baria";1
"C. Augustine";1
"E. Murphy";1
"P. Negraru";1
"M. Richards";1
"赵一凡";1
"J. Neubauer";1
"A. Bennetti";1
"C. Pearson";1
"N. Simmons";1
"C. Reid";1
"M. Manzo";1
"G. Conzelmann";1
"M. Petri";1
"B. Yildiz";1
"O. Marina";1
"L. Pederson";1
"G. Coffey";1
"Kerry D. Meinhardt";1
"Carolyn D. Nguyen";1
"V. Arcidiacono";1
"R. Menis";1
"Hyun-Jae Yoo";1
"Yongho Park";1
"Jongchan Jeong";1
"D. Backer";1
"C. Bernauer";1
"H. Bohme";1
"S. Grossmann";1
"V. Hinrichsen";1
"S. Kornhuber";1
"S. Markalous";1
"Tu Darmstadt";1
"M. Muhr";1
"T. Strehl";1
"R. Teminova";1
"L. Král";1
"水谷 麻美";1
"中村 国男";1
"高木 喜久雄";1
"康治 坂田";1
"坂田 康治";1
"戸原 正博";1
"Ali Ibrahim Ismaail";1
"Misgana K. Muleta";1
"P. Boulos";1
"김형준";1
"김형철";1
"A. Dembla";1
"M. Mersmann";1
"이재봉";1
"박재학";1
"김홍덕";1
"정한섭";1
"吴捷";1
"吴晓朝";1
"杨金明";1
"黄飞龙";1
"周丹莹";1
"王志峰";1
"白凤武";1
"윤태원";1
"장대호";1
"Jiping Lu";1
"H. Masuda";1
"M. Tomizawa";1
"Y. Miyamoto";1
"K. Hagimoto";1
"J. Paserba";1
"C. Unsihuay";1
"J. Lima";1
"A. D. De Souza";1
"K. Sundmacher";1
"A. Kienle";1
"H. J. Pesch";1
"J. Berndt";1
"G. Huppmann";1
"Joong-Kyo Han";1
"Seung-Hun Lee";1
"M. Osawa";1
"M. B. Blarke";1
"D. Horan";1
"D. Bromberek";1
"D. Meyer";1
"G. Waldschmidt";1
"Jingtao Tan";1
"Jianping Ying";1
"A. Jalloh";1
"Kevin E. Flammang";1
"Karl J. Seggerman";1
"Gene Veltkamp";1
"S. Hurtt";1
"A. Dentai";1
"J. Pleumeekers";1
"R. Muthiah";1
"C. Joyner";1
"R. Schneider";1
"F. Kish";1
"D. Welch";1
"M. Champion";1
"李志刚";1
"D. J. Fauth";1
"M. Gray";1
"S. Hedges";1
"J. S. Hoffman";1
"H. Pennline";1
"吴国洪";1
"孙光磊";1
"杜继红";1
"翁晓宇";1
"谷俊秀";1
"赵作利";1
"R. Dickens";1
"David D. Dixon";1
"S. Madihally";1
"Randy S. Lewis";1
"E. Lugujjo";1
"I. P. Da Silva";1
"B. Lence";1
"J.H. Lim";1
"S. Yim";1
"O. Hyun";1
"H.R. Kim";1
"K. Yatsuka";1
"S. Isojima";1
"D.L. Kim";1
"S.D. Hwang";1
"M. Ichikawa";1
"T. Takahashi";1
"Fushuan Wen";1
"D. Haught";1
"J. Daley";1
"P. Bakke";1
"B. Marchionini";1
"L. Cinotti";1
"Craig F. Smith";1
"H. Abderrahim";1
"G. Benamati";1
"G. Locatelli";1
"S. Monti";1
"H. Wider";1
"D. Struwe";1
"A. Orden";1
"唐明龙";1
"周国华";1
"茶之平";1
