"Author";"Frequency"
"Po-tai Cheng";9
"Muhammad Murtadha Othman";9
"Yi Li";9
"M. Ilić";9
"S. Hussain";9
"Shu Wang";9
"Hong Liu";9
"Y. Makarov";9
"X. Liu";9
"E. El-Saadany";9
"Yi Yang";9
"L. Yao";9
"C. Won";9
"D. Agonafer";9
"Cheng Wang";9
"Q. Gao";9
"Bo Zhao";9
"R. Kumar";9
"Jian Zhao";9
"O. Mohammed";9
"Wei Xu";9
"Jie Li";9
"X. Guan";9
"Jing Xu";9
"Long Zhao";9
"Jie Zeng";9
"Yuan Li";9
"F. Gao";9
"Chenghong Gu";9
"Jian Xu";9
"Xi Zhang";9
"Zhen Wang";9
"Lin Cheng";9
"Yang Chen";9
"Lei Zhao";9
"Ming Liu";9
"Liang Zhao";9
"Seungmin Jung";9
"R. Aminov";9
"Qi Li";9
"Dong Liu";9
"Li Sun";9
"Yue Wang";9
"A. Ghosh";9
"Xing Zhang";9
"Zhengyou He";9
"Yi Huang";9
"Ming Yang";9
"Jin Li";9
"D. Do";9
"M. Tariq";9
"J. Chen";9
"S. Mishra";9
"Jie Chen";9
"Qinglai Guo";9
"M. Reno";9
"Kai Zhang";9
"Qiang Wang";9
"N. Nwulu";9
"Hossein Shahinzadeh";9
"Feng Wu";9
"Hui Huang";9
"Changzheng Shao";9
"M. Iqbal";9
"Lei Li";9
"Zhaoyu Wang";9
"Hongxun Hui";9
"Qi Guo";9
"Jehad M. Hamamreh";9
"Jing Wu";9
"Zhi Li";9
"Aashish Kumar Bohre";9
"J. Enslin";8
"G. Cho";8
"Li Yan";8
"J. Kim";8
"V. Vittal";8
"S. Faried";8
"H. Kim";8
"M. Ahmed";8
"W. Gu";8
"L. Chen";8
"K. Lee";8
"E. Zio";8
"Xuemin Shen";8
"S. Aïssa";8
"J. Ling";8
"Bin Chen";8
"E. Muljadi";8
"Dange Huang";8
"Jian Wu";8
"최재석";8
"Chen Wang";8
"M. Chow";8
"Lin Chen";8
"Tao Peng";8
"M. El-Kady";8
"D. Menniti";8
"G. Karagiannidis";8
"M. Kezunovic";8
"Y. Zhang";8
"Kai Sun";8
"S. Ekin";8
"Zhaoyang Zhang";8
"Shi Jin";8
"E. Châtelet";8
"Md. Rabiul Islam";8
"F. Zhuo";8
"Jie Xu";8
"R. Bhakar";8
"Jung-Wook Park";8
"Ming Li";8
"S. Ci";8
"S. Patil";8
"H. Zeineldin";8
"Haozhong Cheng";8
"K. Sun";8
"H. Tenhunen";8
"Fei Li";8
"M. Bollen";8
"Gang Zhang";8
"W. Al-Hussaibi";8
"B. Liu";8
"Lin Li";8
"S. Bahramirad";8
"T. Kumar";8
"K. Davis";8
"Zuyi Li";8
"I. Khan";8
"Tao Liu";8
"Liang Chen";8
"Yan Wang";8
"C. Kumar";8
"V. Verma";8
"Pai Li";8
"S. Li";8
"E. Ibanez";8
"Z. Wang";8
"Zheng Wang";8
"Yao Wang";8
"Long Chen";8
"Lijun Zhang";8
"Xu Wang";8
"A. Egorov";8
"Zhidong Wang";8
"Kai Yang";8
"A. Ghaedi";8
"Xuan Liu";8
"T. Zheng";8
"Kang Li";8
"Jian Chen";8
"T. Dragičević";8
"X. Ai";8
"Samer Sulaeman";8
"Zhe Zhang";8
"N. Yorino";8
"Shuai Zhang";8
"D. Vinnikov";8
"Yang Xu";8
"M. Zhou";8
"Lei Guo";8
"Hao Yu";8
"Jie Yang";8
"Rui Li";8
"Hui Liu";8
"Feng Li";8
"Zhu Han";8
"Zhiyi Li";8
"Jianxiao Wang";8
"You-bo Liu";8
"S. Peyghami";8
"Xin He";8
"B. Zeng";8
"D. Huitink";8
"M. Khooban";8
"Yue Xiang";8
"A. Yadav";8
"Yi Wu";8
"H. Farag";8
"Hassan Haes Alhelou";8
"Kevin M. Banjar-Nahor";8
"D. Banerjee";8
"K. Mahmoud";8
"Mohamed Metwally Mahmoud";8
"Ning Wang";8
"Jing Zhou";8
"Meet Kumari";8
"Han Wang";8
"R. Chen";7
"T. Kato";7
"K. Roy";7
"V. Li";7
"I. Dobson";7
"T. Xu";7
"Y. Ni";7
"J. Matsuki";7
"Y. Yang";7
"T. Rahman";7
"Chao-Shun Chen";7
"S. Lukic";7
"Liuqing Yang";7
"B. Kirby";7
"G. Huang";7
"A. Domínguez-García";7
"Hong Li";7
"J. Henkel";7
"T. Saha";7
"T. Hoang";7
"M. O’Malley";7
"A. Zeblah";7
"X. Chen";7
"R. Thomas";7
"A. Huang";7
"Jing Liu";7
"Z. Xu";7
"Yuan Zhao";7
"Meng Zhang";7
"P. Hu";7
"R. K. Saket";7
"H. Yang";7
"N. Sorrentino";7
"A. Pinnarelli";7
"Z. Tan";7
"Yong Yang";7
"S. Mohagheghi";7
"Y. Mohamed";7
"M. Imran";7
"N. Dutt";7
"Liuchen Chang";7
"P. Jain";7
"V. Khadkikar";7
"A. Khodaei";7
"M. P. Moghaddam";7
"K. Lo";7
"M. Guizani";7
"H. Monsef";7
"S. Muyeen";7
"O. Mutlu";7
"Xiqi Gao";7
"M. Hossain";7
"B. Lee";7
"Jian Liu";7
"S. Bozhko";7
"K. Tseng";7
"Jin Yang";7
"Sri Niwas Singh";7
"D. Kumar";7
"A. Lamadrid";7
"M. Ouyang";7
"M. Ibrahim";7
"Wook-Won Kim";7
"C. Rieger";7
"Jie Wang";7
"Kyeonghee Cho";7
"M. Abdallah";7
"L. Söder";7
"A. Hussain";7
"Hansang Lee";7
"M. Webber";7
"P. Musílek";7
"H. Zhang";7
"Bin Wu";7
"Y. Lee";7
"Jing Shi";7
"M. C. Gursoy";7
"Xianbin Wang";7
"S. Krishnamurthy";7
"Liang Li";7
"Guangyu Sun";7
"Haibo Zhou";7
"Ying Chen";7
"Yuanzhan Sun";7
"Tao Chen";7
"D. Kirschen";7
"Wei Hu";7
"H. Jia";7
"P. Hilber";7
"Kun Yang";7
"Wencong Su";7
"Guangchao Geng";7
"A. Omri";7
"Jiang Wu";7
"W. Hsieh";7
"Z. Khan";7
"Dan Zhang";7
"S. Bhattacharya";7
"S. Mehraeen";7
"X. Bai";7
"K. Wong";7
"Wen Wang";7
"L. Zhang";7
"Lei Shi";7
"Neeraj Kumar";7
"Chao Li";7
"Wei Zhao";7
"I. Vokony";7
"Zhao Xu";7
"Yan Liu";7
"X. Cai";7
"I. Giriantari";7
"M. Mustafa";7
"Qingshan Xu";7
"Jie Zhu";7
"Bing Sun";7
"X. Xia";7
"A. Abdollahi";7
"I. Krad";7
"Chuangxin Guo";7
"Jianfeng Zhao";7
"Jiangbiao He";7
"Lei Qi";7
"A. Tang";7
"Tao Xu";7
"Y. Zoka";7
"Yue Yuan";7
"Yang Cao";7
"Chul-Hwan Kim";7
"Yong Sun";7
"H. Poor";7
"Charalambos Konstantinou";7
"Fei Xu";7
"M. Sharma";7
"G. Tomarov";7
"A. Shipkov";7
"Sarjiya";7
"Majed A. Alotaibi";7
"Junwei Lu";7
"Bo Sun";7
"Yongjun Zhang";7
"Yang Du";7
"A. Ejlali";7
"M. Jamil";7
"Wei Zhou";7
"A. Anvari‐Moghaddam";7
"Han Zhang";7
"Haibo Li";7
"Han Wu";7
"Wei Yang";7
"Yan Chen";7
"S. Swain";7
"Kai Liu";7
"N. Javaid";7
"Jiaqi Li";7
"S. Das";7
"P. Lezhniuk";7
"Zhen Zhang";7
"Fengzhang Luo";7
"Li Yang";7
"Shweta Singh";7
"S. S.";7
"S. Abeygunawardane";7
"L. Hadjidemetriou";7
"Hua Li";7
"Min Zhang";7
"Hegazy Rezk";7
"Amal Srivastava";7
"Yun Zhou";7
"Yang Si";7
"Hao Huang";7
"Zhen Li";7
"Sanjeev Pannala";7
"Dilip Pandit";7
"Haitao Hu";7
"S. Papathanassiou";7
"Yuechuan Tao";7
"Shuying Lai";7
"Xingpeng Li";7
"Feras Alasali";7
"Lei Liu";7
"Kaleem Ullah";7
"Zahid Ullah";7
"Rohit Kumar";7
"A. Patton";6
"W. Lee";6
"R. Allan";6
"M. Pereira";6
"Victor C. M. Leung";6
"Quan Chen";6
"M. El-Sayed";6
"E. Sato";6
"G. Heydt";6
"J. Yang";6
"H. Ujita";6
"D. Hong";6
"P. Sun";6
"A. Willner";6
"F. Pilo";6
"W. Zhuang";6
"J. McCalley";6
"Insoo Koo";6
"Gang Liu";6
"Y. Guo";6
"R. Arno";6
"R. Jäntti";6
"P. Wang";6
"A. Kumar";6
"Massoud Pedram";6
"J. Kwon";6
"M. Islam";6
"P. Peng";6
"G. Parise";6
"H. Mouftah";6
"X. Zhang";6
"A. El-Keib";6
"Z. Ding";6
"J. Liao";6
"B. Rao";6
"B. Mozafari";6
"A. Anpalagan";6
"Y. Wu";6
"L. Lorenz";6
"Haifeng Li";6
"Ming Zhou";6
"Li-Chun Wang";6
"N. Chang";6
"N. Ansari";6
"H. R. Mashhadi";6
"Y. Qian";6
"H. Yanikomeroglu";6
"A. Yazdani";6
"P. Jirutitijaroen";6
"N. Rahim";6
"A. Smirnov";6
"J. Tang";6
"J. Wang";6
"김진오";6
"Z. Tian";6
"P. Ho";6
"Li Liu";6
"Ming Zhang";6
"Yu Hu";6
"S. Alam";6
"A. Botterud";6
"F. Ahmad";6
"Z. Chen";6
"Z. Liu";6
"Zhigang Liu";6
"B. Jung";6
"K. Cheng";6
"Jian Ma";6
"Hui Ren";6
"Ke Sun";6
"M. Zeng";6
"Jin Ma";6
"Cheng-Xiang Wang";6
"E. Ozkop";6
"K. Zheng";6
"R. Harley";6
"A. Coskun";6
"Tajana Simunic";6
"Xiang Cheng";6
"D. Peng";6
"A. El-Gammal";6
"Li Guo";6
"Tao Lin";6
"Yi Ren";6
"B. Venkatesh";6
"S. Dehghan";6
"C. Rehtanz";6
"Xudong Wang";6
"Languang Lu";6
"Hong Ji";6
"Xi Li";6
"Youtao Zhang";6
"Fei Gao";6
"Yong Liu";6
"S. Miremadi";6
"E. Karapidakis";6
"Feng Zhou";6
"Xu Han";6
"N. P. Padhy";6
"Yue Chen";6
"A. Annaswamy";6
"张伟";6
"C. Dent";6
"P. Etingov";6
"N. Samaan";6
"R. Guttromson";6
"Kwang.Y. Lee";6
"M. Vaiman";6
"A. Shah";6
"Hong Wang";6
"R. Moreno";6
"Yang Fan";6
"Jian Sun";6
"Yiyan Wu";6
"Yuan Xie";6
"A. Kulkarni";6
"Qimei Cui";6
"P. Rodríguez";6
"Le Xie";6
"S. Chaitusaney";6
"Kun Wang";6
"Rui Yang";6
"Yong Chen";6
"B. Németh";6
"A. Eltamaly";6
"Jing Qiu";6
"Marco Liserre";6
"Kyo-Beum Lee";6
"Malhar Padhee";6
"Xin Su";6
"Dan Liu";6
"Chia-Hung Lin";6
"Lin Ma";6
"D. Gao";6
"Rui Ma";6
"Ke Li";6
"Peng Chen";6
"X. Tian";6
"Manish Kumar";6
"Yiping Fang";6
"Chao Liu";6
"S. Shi";6
"Na Li";6
"S. Santoso";6
"Xiangwu Yan";6
"P. Bauer";6
"Wei Deng";6
"G. Chang";6
"P. Kumar";6
"C. Xie";6
"Song Zhang";6
"Liu Wei";6
"H. Wei";6
"Dongyu Wang";6
"Longjun Liu";6
"T. Han";6
"Yi Luo";6
"Yonghui Sun";6
"R. Babu";6
"Yi Sun";6
"S. Pazouki";6
"W. Yao";6
"Gang Chen";6
"Q. Xia";6
"Fengge Zhang";6
"Kun Liu";6
"Cheng Li";6
"Jie Tang";6
"Wooyoung Jeon";6
"M. Shaaban";6
"Cong Liu";6
"Zechun Hu";6
"M. Amini";6
"Ming Xu";6
"M. Othman";6
"A. Nallanathan";6
"N. Amjady";6
"Q. Nguyen";6
"D. You";6
"Xin Wu";6
"H. Cai";6
"Bingtuan Gao";6
"Sanjay Kumar";6
"B. Bhattacharyya";6
"Y. Weng";6
"E. Ela";6
"Miao Wang";6
"Chao Lu";6
"Yuan Liu";6
"J. Liu";6
"C. Li";6
"J. J. Jamian";6
"D. Ionel";6
"Yingmeng Xiang";6
"Qin Wang";6
"Y. Sasaki";6
"Qi Yang";6
"J. Qiu";6
"Michael Juma Saulo";6
"Pei Luo";6
"S. Maiti";6
"A. Ahadi";6
"M. Narimani";6
"Lin Zhu";6
"Ping Liu";6
"J. Kumar";6
"A. Miele";6
"M. Abapour";6
"M. Tahoori";6
"Shuran Liu";6
"Cheng Chen";6
"Yu Yang";6
"H. Talaat";6
"Guang Yang";6
"Qiang Liu";6
"Li Ma";6
"Yi Chen";6
"Bhavesh Vyas";6
"Haoming Liu";6
"Xiang Wang";6
"I. Davidson";6
"A. Rushdi";6
"A. Al‐Durra";6
"B. Mohammadi-ivatloo";6
"Hong Jiang";6
"Wei-chun Ge";6
"A. Mahņitko";6
"Fei Wu";6
"Bin Sun";6
"Feng Chen";6
"Peng Yu";6
"R. Garmabdari";6
"S. Hosseinian";6
"J. Salehi";6
"Yajuan Guan";6
"S. Saad";6
"F. Mohamed";6
"Zhang Tao";6
"S. Liao";6
"Feng Zhang";6
"Wei Fan";6
"Hengxu Zhang";6
"L. Mihet-Popa";6
"S. Kamel";6
"Yunhe Hou";6
"Hong Zhou";6
"N. Nair";6
"A. Tarasenko";6
"B. Babu";6
"Tianyang Zhao";6
"H. Al-Raweshidy";6
"M. Rizwan";6
"Xi Chen";6
"Hamdy M. Sultan";6
"Qiang Zhou";6
"Minglei Bao";6
"Mingyu Yan";6
"Ritesh Dash";6
"Y. Mao";6
"Weiting Xu";6
"Yi Lu";6
"Lin Wang";6
"Peng Xu";6
"Z. Ullah";6
"Abualkasim Bakeer";6
"Feng Guo";6
"Qi Huang";6
"A. Pandey";6
"L. M. Putranto";6
"M. Dabbaghjamanesh";6
"M. Bajaj";6
"S. S";6
"Xiaohui Wang";6
"Hongjun Gao";6
"Fei Yang";6
"Qingqing Wu";6
"Qing Liu";6
"Hexu Sun";6
"Shan Gao";6
"K. Moloi";6
"Min Wu";6
"Bin Liu";6
"I. Zicmane";6
"Qing Chen";6
"Junyu Chen";6
"Sunil Kumar";6
"Meng Wang";6
"Pantelis A. Dratsas";6
"G. Psarros";6
"Wei Duan";6
"Kaiqi Sun";6
"Saher Javaid";6
"H. Mehrjerdi";6
"Joseph A. Azzolini";6
"R. El-Sehiemy";6
"Y. Kassem";6
"N. El-Naily";6
"Wei Han";6
"Ang Li";6
"Ruifeng Zhao";6
"Jing Xiao";6
"Ali Heydari";6
"Hongjun Wang";6
"A. Wood";5
"M. Bhavaraju";5
"S. Shimamoto";5
"A. D. da Silva";5
"T. Fujita";5
"E. Wiechmann";5
"T. Suntio";5
"K. Schneider";5
"S. Seong";5
"H. Isobe";5
"Y. Tamakawa";5
"T. Yanagisawa";5
"J. Winter";5
"R. Yokoyama";5
"A. Ray";5
"H. Sasaki";5
"A. Goldsmith";5
"P. Yu";5
"R. Krishnan";5
"A. Saha";5
"C. Lee";5
"T. Phillips";5
"J. Lambert";5
"Y. Chiang";5
"Y. Jang";5
"X. Feng";5
"L. Tolbert";5
"Jinxiang Zhu";5
"S. Baek";5
"이현철";5
"K. Pattipati";5
"S. Iwamoto";5
"V. Dubey";5
"F. Yang";5
"R. Singh";5
"R. Dugan";5
"J. Park";5
"H. Yeh";5
"S. Verma";5
"S. Oren";5
"Z. Pan";5
"Bagen";5
"Y. Suzuoki";5
"H. Chen";5
"H. Chuang";5
"A. Nasiri";5
"Z. Cao";5
"윤용범";5
"Sung‐Jun Park";5
"S. Mazumder";5
"D. Eichenberg";5
"Eduard Axel Jorswieck";5
"Tei-Wei Kuo";5
"D. Flynn";5
"M. Sahni";5
"H. Chung";5
"Y. Cheng";5
"S. Dey";5
"Jianhua Zhang";5
"Xiangning Xiao";5
"T. Oh";5
"A. Bhattacharya";5
"A. Agarwal";5
"Zhen Liu";5
"S. Atcitty";5
"N. Tan";5
"Le Xu";5
"K. Strunz";5
"S. Mitra";5
"B. Chowdhury";5
"Xiaowei Li";5
"Sheng Wang";5
"M. Ismail";5
"R. Bansal";5
"Jong-keun Park";5
"R. Teodorescu";5
"A. Burgio";5
"N. Schulz";5
"A. Manzanares";5
"Inkyu Lee";5
"L. Luo";5
"李强";5
"H. Katiyar";5
"A. Mahmoud";5
"V. Kokkinos";5
"Ping Yang";5
"Hailin Zhang";5
"Yi Gao";5
"C. Patel";5
"P. Taylor";5
"J. Zou";5
"A. Chakraborty";5
"B. Singh";5
"Jian Gao";5
"M. Cheng";5
"M. Aware";5
"Hui Guo";5
"H. Long";5
"Yu Gu";5
"Wan Choi";5
"T. Habetler";5
"I. S. Ansari";5
"Qinyu Zhang";5
"Yang Lu";5
"F. Yilmaz";5
"K. Meng";5
"X. You";5
"S. Kwak";5
"Jae-Chul Kim";5
"A. Sharma";5
"Min Zhou";5
"M. Dong";5
"I. Bae";5
"Yang Hong";5
"D. Sen";5
"W. Liao";5
"Y. Ye";5
"Wenzhong Gao";5
"王鹏";5
"A. Mishra";5
"T. Ma";5
"Ran Zhang";5
"K. Wang";5
"S. Chakrabarti";5
"B. G. Fernandes";5
"S. Fan";5
"J. An";5
"R. Diao";5
"Jingjing Wang";5
"백영식";5
"Bin Yu";5
"A. Mehrtash";5
"W. Li";5
"Stuart M Cohen";5
"M. Korpås";5
